symbol,year_id,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,profit_before_tax,tax_pct,net_profit,eps,dividend_payout_pct,net_profit_margin_pct,expense_ratio_pct,interest_coverage,asset_turnover,return_on_assets
CIPLA,202203,21763,106,17211.0,79.08376602490466,21,99,1052,3493,27.0,2547,31.0,16.0,11.703349722005237,0.48706520240775625,173.84848484848484,0.8103287783445656,9.483561082771716
CIPLA,202303,22753,110,17726.0,77.90621017008746,22,293,1172,4038,30.0,2833,35.0,24.0,12.45110534874522,0.48345273150793305,60.49829351535836,0.7765529010238907,9.668941979522184
CIPLA,202403,25774,90,19483.0,75.59168153953597,24,552,1051,5702,27.0,4154,51.0,25.0,16.11701714906495,0.34918910529991465,35.29528985507246,0.7922417237881536,12.768573448498447
CIPLA,999999,26981,66,20075.0,74.40421037026054,26,822,1087,6576,,4987,62.0,,18.48337719135688,0.24461658203921277,24.42214111922141,,
COALINDIA,201303,68303,46,50216.0,73.51946473800565,26,8752,1813,24979,31.0,17356,27.0,51.0,25.41030408620412,0.06734696865437828,5.737659963436928,0.6154365983979528,15.638431111071066
COALINDIA,201403,70608,59,52842.0,74.83854520734195,25,7169,1996,22880,34.0,15112,24.0,121.0,21.402673917969636,0.08355993655109903,7.370902496861487,0.6728544473879815,14.400884331700622
COALINDIA,201503,74120,9,56777.0,76.60145709660011,23,6570,2320,21584,36.0,13727,22.0,95.0,18.519967620075555,0.012142471667566108,8.641856925418569,0.6661453980065968,12.336991201344514
COALINDIA,201603,77861,388,59147.0,75.96486045645446,24,5939,2826,21440,33.0,14267,23.0,121.0,18.323679377351947,0.4983239362453603,9.959084020878937,0.6856375484325467,12.563402606551602
COALINDIA,201703,78164,410,65716.0,84.0745100046057,16,5316,2907,14446,36.0,9280,15.0,133.0,11.872473261347935,0.5245381505552429,12.361926260346126,0.6591278976616324,7.8254783407962085
COALINDIA,201803,85244,430,75956.0,89.10421847871991,11,4975,3063,10770,35.0,7038,11.0,146.0,8.25629956360565,0.5044343296888931,15.26753768844221,0.6793920507527635,5.60926429214719
COALINDIA,201903,99586,264,74579.0,74.88904062820076,25,5834,3450,27127,36.0,17464,28.0,46.0,17.536601530335588,0.2650975036651738,12.783510455947892,0.7486487096022433,13.128754106494464
COALINDIA,202003,96080,503,74500.0,77.53955037468776,22,6444,3451,24071,31.0,16700,27.0,44.0,17.38134887593672,0.5235220649458784,11.561142147734326,0.64044794027463,11.131849086788428
COALINDIA,202103,90026,642,71398.0,79.3081998533757,21,3742,3718,18009,29.0,12702,21.0,78.0,14.109257325661476,0.7131273187745762,19.08017103153394,0.5589906302972351,7.886942645497388
COALINDIA,202203,109715,541,84995.0,77.46889668687052,23,3866,4429,23616,26.0,17378,28.0,60.0,15.839219796746114,0.4930957480745568,21.985256078634247,0.6114436344992086,9.684790120154261
